DecimalValue,LoggerId,Time
3.92,149,"2020-12-17 18:05:23.000000"
3.74,165,"2020-12-17 18:05:26.000000"
21.37,130,"2020-12-17 18:05:21.000000"
21.45,112,"2020-12-17 18:05:27.000000"
4.43,110,"2020-12-17 18:05:19.000000"
21.51,180,"2020-12-17 18:05:15.000000"
21.49,158,"2020-12-17 18:05:24.000000"
21.38,154,"2020-12-17 18:07:27.000000"
21.51,161,"2020-12-17 18:07:28.000000"
21.36,181,"2020-12-17 18:07:29.000000"
3.65,206,"2020-12-17 18:07:29.000000"
3.87,149,"2020-12-17 18:07:26.000000"
3.70,165,"2020-12-17 18:07:30.000000"
21.36,130,"2020-12-17 18:07:00.000000"
21.47,112,"2020-12-17 18:07:27.000000"
4.41,110,"2020-12-17 18:07:28.000000"
21.50,180,"2020-12-17 18:07:27.000000"
21.49,158,"2020-12-17 18:07:12.000000"
21.38,154,"2020-12-17 18:09:22.000000"
21.51,161,"2020-12-17 18:09:28.000000"
21.33,181,"2020-12-17 18:09:17.000000"
3.72,206,"2020-12-17 18:09:17.000000"
3.91,149,"2020-12-17 18:09:23.000000"
3.75,165,"2020-12-17 18:09:27.000000"
21.35,130,"2020-12-17 18:09:24.000000"
21.45,112,"2020-12-17 18:09:24.000000"
4.45,110,"2020-12-17 18:09:28.000000"
21.51,180,"2020-12-17 18:09:28.000000"
21.46,158,"2020-12-17 18:09:16.000000"
21.33,181,"2020-12-17 18:09:53.000000"
3.72,206,"2020-12-17 18:09:53.000000"
3.93,149,"2020-12-17 18:09:48.000000"
3.75,165,"2020-12-17 18:09:54.000000"
21.46,112,"2020-12-17 18:09:58.000000"
21.38,154,"2020-12-17 18:09:58.000000"
21.46,158,"2020-12-17 18:09:55.000000"
21.51,161,"2020-12-17 18:09:55.000000"
4.45,110,"2020-12-17 18:09:58.000000"
21.35,130,"2020-12-17 18:09:57.000000"
21.51,180,"2020-12-17 18:09:58.000000"
21.37,154,"2020-12-17 18:11:19.000000"
21.50,161,"2020-12-17 18:11:19.000000"
21.33,181,"2020-12-17 18:11:23.000000"
3.62,206,"2020-12-17 18:11:20.000000"
3.88,149,"2020-12-17 18:11:24.000000"
3.71,165,"2020-12-17 18:11:27.000000"
21.36,130,"2020-12-17 18:11:12.000000"
21.44,112,"2020-12-17 18:11:22.000000"
4.41,110,"2020-12-17 18:11:26.000000"
21.49,180,"2020-12-17 18:11:16.000000"
21.47,158,"2020-12-17 18:11:28.000000"
21.37,154,"2020-12-17 18:13:13.000000"
21.51,161,"2020-12-17 18:13:25.000000"
21.33,181,"2020-12-17 18:13:14.000000"
